Node Data
ID,Name,Latitude,Longitude,Is Station,Capacity,Demand
RES_01,Residential Area North,40.77,-73.99,True,20,0.42983524901414916
RES_02,Residential Area East,40.765,-73.97,True,20,0.32791250721911197
RES_03,Residential Area South,40.75,-73.985,True,20,0.5913912790915299
RES_04,Residential Area West,40.76,-74.0,False,0,0.3861179875799846
COM_01,Downtown Business District,40.7589,-73.9851,True,20,1.0
COM_02,Shopping Center,40.762,-73.978,True,20,0.6773164430389875
COM_03,Office Complex,40.756,-73.992,False,0,0.6936035931481411
PARK_01,Central Park South,40.7678,-73.9815,False,0,0.6018645148537207
PARK_02,Riverside Park,40.77,-73.995,False,0,0.3246709131391679
TRAN_01,Main Train Station,40.7527,-73.9772,True,20,0.9
TRAN_02,Bus Terminal,40.757,-73.99,False,0,0.823067036503129
EDU_01,University Campus,40.763,-73.984,False,0,0.8220795200385865
EDU_02,College District,40.766,-73.976,False,0,0.5111100360726283
MED_01,City Hospital,40.754,-73.98,False,0,0.8360254709874784
ENT_01,Theater District,40.758,-73.986,False,0,0.98448322482179
ENT_02,Sports Arena,40.751,-73.993,False,0,0.4515797733247388

Edge Data
Source,Destination,Distance (km),Time (min),Traffic Factor
RES_01,PARK_01,0.3,2.5,1.0
RES_01,PARK_02,0.4,3.0,1.1
RES_02,COM_02,0.4,3.0,1.2
RES_02,EDU_02,0.3,2.0,1.0
RES_03,TRAN_01,0.3,2.5,1.3
RES_03,MED_01,0.5,4.0,1.1
RES_04,COM_03,0.4,3.0,1.0
RES_04,PARK_02,0.3,2.5,1.0
COM_01,ENT_01,0.2,1.5,1.5
COM_01,TRAN_01,0.3,2.0,1.6
COM_01,COM_02,0.4,3.0,1.4
COM_01,COM_03,0.4,3.0,1.3
COM_01,PARK_01,0.4,3.0,1.1
COM_01,EDU_01,0.3,2.5,1.2
COM_02,RES_02,0.4,3.0,1.2
COM_02,COM_01,0.4,3.0,1.4
COM_02,EDU_01,0.3,2.0,1.1
COM_02,ENT_01,0.4,3.0,1.3
COM_03,RES_04,0.4,3.0,1.0
COM_03,TRAN_02,0.3,2.0,1.2
COM_03,COM_01,0.4,3.0,1.3
COM_03,ENT_02,0.3,2.5,1.2
PARK_01,RES_01,0.3,2.5,1.0
PARK_01,EDU_01,0.3,2.0,1.0
PARK_01,COM_01,0.4,3.0,1.1
PARK_01,PARK_02,0.5,4.0,1.0
PARK_01,EDU_02,0.3,2.0,1.0
PARK_02,RES_01,0.4,3.0,1.1
PARK_02,RES_04,0.3,2.5,1.0
PARK_02,PARK_01,0.5,4.0,1.0
TRAN_01,RES_03,0.3,2.5,1.3
TRAN_01,COM_01,0.3,2.0,1.6
TRAN_01,TRAN_02,0.4,3.0,1.5
TRAN_01,MED_01,0.3,2.0,1.2
TRAN_02,COM_03,0.3,2.0,1.2
TRAN_02,TRAN_01,0.4,3.0,1.5
TRAN_02,ENT_02,0.4,3.0,1.3
EDU_01,COM_02,0.3,2.0,1.1
EDU_01,PARK_01,0.3,2.0,1.0
EDU_01,COM_01,0.3,2.5,1.2
EDU_01,EDU_02,0.4,3.0,1.0
EDU_02,RES_02,0.3,2.0,1.0
EDU_02,EDU_01,0.4,3.0,1.0
EDU_02,PARK_01,0.3,2.0,1.0
MED_01,RES_03,0.5,4.0,1.1
MED_01,TRAN_01,0.3,2.0,1.2
MED_01,ENT_02,0.4,3.0,1.1
ENT_01,COM_01,0.2,1.5,1.5
ENT_01,ENT_02,0.5,4.0,1.4
ENT_01,COM_02,0.4,3.0,1.3
ENT_02,TRAN_02,0.4,3.0,1.3
ENT_02,MED_01,0.4,3.0,1.1
ENT_02,ENT_01,0.5,4.0,1.4
ENT_02,COM_03,0.3,2.5,1.2
